medal_id,person_id,department,medal_type,award_date,reason
M0649,AO11938,Gamma,Meritorious Service Medal,2022-08-04,Sustained high standard of duty performance
M0650,AO11938,Gamma,Distinguished Marksmanship Medal,2025-04-06,Recognized shooting proficiency
M0651,AO11938,Gamma,International Cooperation Medal,2021-05-29,Contribution to joint/NATO training exercises
M0652,AO16958,Gamma,Years of Service Medal,2022-09-16,Long and continuous military service
M0653,AO16958,Gamma,Years of Service Medal,2023-11-25,Long and continuous military service
M0654,AO16958,Gamma,Years of Service Medal,2022-12-02,Long and continuous military service
M0655,G21193,Gamma,Distinguished Marksmanship Medal,2023-06-03,Recognized shooting proficiency
M0656,G21193,Gamma,Meritorious Service Medal,2024-08-09,Sustained high standard of duty performance
M0657,G23405,Gamma,International Cooperation Medal,2024-01-18,Contribution to joint/NATO training exercises
M0658,G23405,Gamma,International Cooperation Medal,2023-08-31,Contribution to joint/NATO training exercises
M0659,G23405,Gamma,Years of Service Medal,2025-01-10,Long and continuous military service
M0660,G21265,Gamma,Unit Commendation,2024-04-02,Contribution to unit-level achievement
M0661,G21265,Gamma,International Cooperation Medal,2022-07-17,Contribution to joint/NATO training exercises
M0662,G21265,Gamma,Meritorious Service Medal,2025-08-05,Sustained high standard of duty performance
M0663,G21265,Gamma,Presidential Commendation,2023-07-30,Distinguished service recognized at command level
M0664,G16237,Gamma,Presidential Commendation,2025-10-05,Distinguished service recognized at command level
M0665,G16237,Gamma,International Cooperation Medal,2021-12-02,Contribution to joint/NATO training exercises
M0666,G16237,Gamma,Operational Excellence Medal,2024-03-09,Exceptional performance during operational missions
M0667,G12759,Gamma,Operational Excellence Medal,2025-06-10,Exceptional performance during operational missions
M0668,G12759,Gamma,Distinguished Marksmanship Medal,2024-01-26,Recognized shooting proficiency
M0669,G21712,Gamma,Operational Excellence Medal,2024-05-18,Exceptional performance during operational missions
M0670,G21712,Gamma,Operational Excellence Medal,2024-05-23,Exceptional performance during operational missions
M0671,G11534,Gamma,Presidential Commendation,2025-01-19,Distinguished service recognized at command level
M0672,G24740,Gamma,Presidential Commendation,2025-10-15,Distinguished service recognized at command level
M0673,G24740,Gamma,Distinguished Marksmanship Medal,2025-11-09,Recognized shooting proficiency
M0674,G24740,Gamma,Meritorious Service Medal,2026-01-06,Sustained high standard of duty performance
M0675,G24625,Gamma,International Cooperation Medal,2025-10-23,Contribution to joint/NATO training exercises
M0676,G24625,Gamma,Presidential Commendation,2025-05-09,Distinguished service recognized at command level
M0677,G24625,Gamma,Operational Excellence Medal,2026-06-07,Exceptional performance during operational missions
M0678,G24625,Gamma,Operational Excellence Medal,2025-07-08,Exceptional performance during operational missions
M0679,G08825,Gamma,Operational Excellence Medal,2026-01-22,Exceptional performance during operational missions
M0680,G24228,Gamma,Operational Excellence Medal,2025-07-15,Exceptional performance during operational missions
M0681,G24228,Gamma,Distinguished Marksmanship Medal,2025-05-08,Recognized shooting proficiency
M0682,G23950,Gamma,Distinguished Marksmanship Medal,2025-03-02,Recognized shooting proficiency
M0683,G18229,Gamma,Meritorious Service Medal,2022-04-04,Sustained high standard of duty performance
M0684,G18229,Gamma,Unit Commendation,2022-10-01,Contribution to unit-level achievement
M0685,G10034,Gamma,Operational Excellence Medal,2025-02-05,Exceptional performance during operational missions
M0686,G10034,Gamma,Years of Service Medal,2024-12-09,Long and continuous military service
M0687,G10034,Gamma,Distinguished Marksmanship Medal,2024-12-12,Recognized shooting proficiency
M0688,G10034,Gamma,Unit Commendation,2024-12-11,Contribution to unit-level achievement
M0689,G10034,Gamma,Unit Commendation,2026-04-14,Contribution to unit-level achievement
M0690,G24055,Gamma,Unit Commendation,2025-05-29,Contribution to unit-level achievement
M0691,G24055,Gamma,Distinguished Marksmanship Medal,2026-04-19,Recognized shooting proficiency
M0692,G24055,Gamma,Unit Commendation,2025-08-04,Contribution to unit-level achievement
M0693,G24055,Gamma,Presidential Commendation,2025-01-05,Distinguished service recognized at command level
M0694,G23617,Gamma,Unit Commendation,2025-11-01,Contribution to unit-level achievement
M0695,G23617,Gamma,Unit Commendation,2025-05-01,Contribution to unit-level achievement
M0696,G18607,Gamma,Operational Excellence Medal,2024-07-03,Exceptional performance during operational missions
M0697,G18607,Gamma,Distinguished Marksmanship Medal,2025-11-07,Recognized shooting proficiency
M0698,G18607,Gamma,Presidential Commendation,2023-02-01,Distinguished service recognized at command level
M0699,G18607,Gamma,Unit Commendation,2025-09-22,Contribution to unit-level achievement
M0700,G18607,Gamma,Distinguished Marksmanship Medal,2025-10-02,Recognized shooting proficiency
M0701,G22495,Gamma,International Cooperation Medal,2025-02-06,Contribution to joint/NATO training exercises
M0702,G22236,Gamma,Years of Service Medal,2023-03-21,Long and continuous military service
M0703,G22236,Gamma,Years of Service Medal,2024-10-06,Long and continuous military service
M0704,G22081,Gamma,International Cooperation Medal,2025-04-23,Contribution to joint/NATO training exercises
M0705,G22081,Gamma,Distinguished Marksmanship Medal,2026-01-24,Recognized shooting proficiency
M0706,G22081,Gamma,Presidential Commendation,2023-04-04,Distinguished service recognized at command level
M0707,G22081,Gamma,Distinguished Marksmanship Medal,2026-01-13,Recognized shooting proficiency
M0708,G22081,Gamma,Operational Excellence Medal,2024-03-29,Exceptional performance during operational missions
M0709,G22081,Gamma,International Cooperation Medal,2024-10-02,Contribution to joint/NATO training exercises
M0710,G23250,Gamma,Unit Commendation,2023-08-11,Contribution to unit-level achievement
M0711,G23250,Gamma,Years of Service Medal,2023-04-08,Long and continuous military service
M0712,G21406,Gamma,Operational Excellence Medal,2022-09-27,Exceptional performance during operational missions
M0713,G21406,Gamma,International Cooperation Medal,2022-12-11,Contribution to joint/NATO training exercises
M0714,G21406,Gamma,Years of Service Medal,2025-10-28,Long and continuous military service
M0715,G24842,Gamma,Operational Excellence Medal,2024-09-17,Exceptional performance during operational missions
M0716,G24842,Gamma,Operational Excellence Medal,2025-01-14,Exceptional performance during operational missions
M0717,G24842,Gamma,Presidential Commendation,2025-08-24,Distinguished service recognized at command level
M0718,G24842,Gamma,Meritorious Service Medal,2024-12-10,Sustained high standard of duty performance
M0719,G09851,Gamma,International Cooperation Medal,2025-09-24,Contribution to joint/NATO training exercises
M0720,G09851,Gamma,Meritorious Service Medal,2025-12-03,Sustained high standard of duty performance
M0721,G09851,Gamma,Meritorious Service Medal,2026-03-14,Sustained high standard of duty performance
M0722,G09851,Gamma,Meritorious Service Medal,2025-07-31,Sustained high standard of duty performance
M0723,G09851,Gamma,Meritorious Service Medal,2025-07-23,Sustained high standard of duty performance
M0724,G17884,Gamma,Presidential Commendation,2026-01-18,Distinguished service recognized at command level
M0725,G25117,Gamma,Presidential Commendation,2025-06-03,Distinguished service recognized at command level
M0726,G25117,Gamma,Operational Excellence Medal,2026-03-16,Exceptional performance during operational missions
M0727,G25117,Gamma,International Cooperation Medal,2025-09-25,Contribution to joint/NATO training exercises
M0728,G22817,Gamma,Meritorious Service Medal,2025-08-02,Sustained high standard of duty performance
M0729,G22817,Gamma,Meritorious Service Medal,2025-03-07,Sustained high standard of duty performance
M0730,G22817,Gamma,Operational Excellence Medal,2026-04-01,Exceptional performance during operational missions
M0731,G21397,Gamma,Distinguished Marksmanship Medal,2022-11-03,Recognized shooting proficiency
M0732,G21397,Gamma,Meritorious Service Medal,2022-09-08,Sustained high standard of duty performance
M0733,G25490,Gamma,Meritorious Service Medal,2026-03-08,Sustained high standard of duty performance
M0734,G25490,Gamma,Presidential Commendation,2025-08-20,Distinguished service recognized at command level
M0735,G22189,Gamma,Years of Service Medal,2024-09-23,Long and continuous military service
M0736,G21086,Gamma,International Cooperation Medal,2024-08-19,Contribution to joint/NATO training exercises
M0737,G08080,Gamma,Operational Excellence Medal,2023-07-05,Exceptional performance during operational missions
M0738,G25779,Gamma,International Cooperation Medal,2026-01-10,Contribution to joint/NATO training exercises
M0739,G25779,Gamma,Distinguished Marksmanship Medal,2025-09-30,Recognized shooting proficiency
M0740,G25779,Gamma,Operational Excellence Medal,2026-04-09,Exceptional performance during operational missions
M0741,G16461,Gamma,Meritorious Service Medal,2026-06-14,Sustained high standard of duty performance
M0742,G16461,Gamma,Meritorious Service Medal,2022-09-13,Sustained high standard of duty performance
M0743,G16461,Gamma,Operational Excellence Medal,2025-03-06,Exceptional performance during operational missions
M0744,G22135,Gamma,International Cooperation Medal,2025-05-02,Contribution to joint/NATO training exercises
M0745,G22135,Gamma,Operational Excellence Medal,2025-11-30,Exceptional performance during operational missions
M0746,G22448,Gamma,Distinguished Marksmanship Medal,2022-08-15,Recognized shooting proficiency
M0747,G22448,Gamma,Distinguished Marksmanship Medal,2025-12-28,Recognized shooting proficiency
M0748,AO12000,Sigma,Distinguished Marksmanship Medal,2025-06-06,Recognized shooting proficiency
M0749,AO12000,Sigma,Meritorious Service Medal,2024-12-02,Sustained high standard of duty performance
M0750,AO13467,Sigma,Distinguished Marksmanship Medal,2023-03-02,Recognized shooting proficiency
M0751,AO12830,Sigma,Unit Commendation,2024-05-31,Contribution to unit-level achievement
M0752,AO12830,Sigma,Meritorious Service Medal,2023-04-14,Sustained high standard of duty performance
M0753,AO12830,Sigma,Operational Excellence Medal,2024-08-29,Exceptional performance during operational missions
M0754,AO12830,Sigma,Meritorious Service Medal,2024-01-06,Sustained high standard of duty performance
M0755,AO22617,Sigma,Unit Commendation,2025-06-21,Contribution to unit-level achievement
M0756,AO25376,Sigma,Meritorious Service Medal,2025-10-13,Sustained high standard of duty performance
M0757,AO25376,Sigma,Years of Service Medal,2025-05-20,Long and continuous military service
M0758,AO22093,Sigma,International Cooperation Medal,2025-02-28,Contribution to joint/NATO training exercises
M0759,AO23780,Sigma,Unit Commendation,2025-06-16,Contribution to unit-level achievement
M0760,AO12140,Sigma,International Cooperation Medal,2022-04-16,Contribution to joint/NATO training exercises
M0761,AO20080,Sigma,Years of Service Medal,2022-06-07,Long and continuous military service
M0762,AO19031,Sigma,Presidential Commendation,2023-11-26,Distinguished service recognized at command level
M0763,AO18862,Sigma,Presidential Commendation,2025-05-16,Distinguished service recognized at command level
M0764,AO18862,Sigma,Operational Excellence Medal,2022-02-26,Exceptional performance during operational missions
M0765,AO18862,Sigma,Meritorious Service Medal,2021-04-13,Sustained high standard of duty performance
M0766,AO14110,Sigma,Presidential Commendation,2025-07-24,Distinguished service recognized at command level
M0767,AO23445,Sigma,Presidential Commendation,2025-08-14,Distinguished service recognized at command level
M0768,AO23445,Sigma,Meritorious Service Medal,2025-04-13,Sustained high standard of duty performance
M0769,AO13818,Sigma,Presidential Commendation,2025-07-08,Distinguished service recognized at command level
M0770,AO23508,Sigma,Years of Service Medal,2025-04-22,Long and continuous military service
M0771,AO23508,Sigma,Presidential Commendation,2024-06-28,Distinguished service recognized at command level
M0772,AO23410,Sigma,International Cooperation Medal,2025-07-14,Contribution to joint/NATO training exercises
M0773,AO18024,Sigma,Distinguished Marksmanship Medal,2025-11-10,Recognized shooting proficiency
M0774,AO18024,Sigma,Distinguished Marksmanship Medal,2024-11-26,Recognized shooting proficiency
M0775,AO18024,Sigma,Presidential Commendation,2025-02-04,Distinguished service recognized at command level
M0776,AO16212,Sigma,International Cooperation Medal,2026-01-03,Contribution to joint/NATO training exercises
M0777,AO16212,Sigma,International Cooperation Medal,2025-12-20,Contribution to joint/NATO training exercises
M0778,AO21707,Sigma,Presidential Commendation,2025-11-08,Distinguished service recognized at command level
M0779,AO22645,Sigma,Distinguished Marksmanship Medal,2023-02-26,Recognized shooting proficiency
M0780,AO22645,Sigma,Unit Commendation,2025-10-03,Contribution to unit-level achievement
M0781,AO21263,Sigma,Operational Excellence Medal,2021-12-03,Exceptional performance during operational missions
M0782,AO21878,Sigma,Distinguished Marksmanship Medal,2023-04-03,Recognized shooting proficiency
M0783,AO21878,Sigma,Years of Service Medal,2026-06-16,Long and continuous military service
M0784,AO20873,Sigma,Distinguished Marksmanship Medal,2026-06-06,Recognized shooting proficiency
M0785,AO20873,Sigma,Meritorious Service Medal,2024-03-18,Sustained high standard of duty performance
M0786,AO24366,Sigma,Operational Excellence Medal,2024-05-29,Exceptional performance during operational missions
M0787,AO24366,Sigma,Meritorious Service Medal,2025-06-28,Sustained high standard of duty performance
M0788,AO24366,Sigma,Meritorious Service Medal,2025-07-10,Sustained high standard of duty performance
M0789,AO24366,Sigma,Unit Commendation,2026-05-03,Contribution to unit-level achievement
M0790,AO17508,Sigma,Unit Commendation,2024-10-04,Contribution to unit-level achievement
M0791,AO17508,Sigma,Distinguished Marksmanship Medal,2022-08-25,Recognized shooting proficiency
M0792,AO17508,Sigma,Years of Service Medal,2024-05-02,Long and continuous military service
M0793,AO20321,Sigma,International Cooperation Medal,2025-04-16,Contribution to joint/NATO training exercises
M0794,AO20321,Sigma,Unit Commendation,2025-02-20,Contribution to unit-level achievement
M0795,AO13943,Sigma,Meritorious Service Medal,2023-08-14,Sustained high standard of duty performance
M0796,AO13943,Sigma,International Cooperation Medal,2025-08-25,Contribution to joint/NATO training exercises
M0797,AO13943,Sigma,Years of Service Medal,2023-03-02,Long and continuous military service
M0798,AO13943,Sigma,Meritorious Service Medal,2023-02-01,Sustained high standard of duty performance
M0799,AO25541,Sigma,Distinguished Marksmanship Medal,2025-06-09,Recognized shooting proficiency
M0800,AO22788,Sigma,Presidential Commendation,2024-03-17,Distinguished service recognized at command level
M0801,AO22788,Sigma,Meritorious Service Medal,2024-02-29,Sustained high standard of duty performance
M0802,AO24582,Sigma,Presidential Commendation,2025-05-02,Distinguished service recognized at command level
M0803,AO24582,Sigma,Years of Service Medal,2025-10-01,Long and continuous military service
M0804,AO24582,Sigma,Unit Commendation,2026-06-10,Contribution to unit-level achievement
M0805,AO24582,Sigma,Meritorious Service Medal,2026-05-21,Sustained high standard of duty performance
M0806,AO21338,Sigma,Distinguished Marksmanship Medal,2026-05-31,Recognized shooting proficiency
M0807,G21228,Sigma,Operational Excellence Medal,2023-12-28,Exceptional performance during operational missions
M0808,G21228,Sigma,Unit Commendation,2025-08-08,Contribution to unit-level achievement
M0809,G23248,Sigma,International Cooperation Medal,2025-06-03,Contribution to joint/NATO training exercises
M0810,G23248,Sigma,Distinguished Marksmanship Medal,2023-07-19,Recognized shooting proficiency
M0811,G23248,Sigma,Operational Excellence Medal,2025-08-01,Exceptional performance during operational missions
M0812,G17472,Sigma,Unit Commendation,2021-10-21,Contribution to unit-level achievement
M0813,G17472,Sigma,Unit Commendation,2022-12-31,Contribution to unit-level achievement
M0814,G17472,Sigma,International Cooperation Medal,2024-07-03,Contribution to joint/NATO training exercises
M0815,G25334,Sigma,Operational Excellence Medal,2025-06-29,Exceptional performance during operational missions
M0816,G25334,Sigma,Operational Excellence Medal,2025-06-02,Exceptional performance during operational missions
M0817,G24918,Sigma,Operational Excellence Medal,2026-06-27,Exceptional performance during operational missions
M0818,G24918,Sigma,Unit Commendation,2024-11-19,Contribution to unit-level achievement
M0819,G24918,Sigma,Years of Service Medal,2025-08-25,Long and continuous military service
M0820,G22667,Sigma,Unit Commendation,2022-07-29,Contribution to unit-level achievement
M0821,G22398,Sigma,Operational Excellence Medal,2024-10-05,Exceptional performance during operational missions
M0822,G21555,Sigma,Distinguished Marksmanship Medal,2026-05-15,Recognized shooting proficiency
M0823,G17341,Sigma,Distinguished Marksmanship Medal,2021-04-17,Recognized shooting proficiency
M0824,G17341,Sigma,Distinguished Marksmanship Medal,2023-06-04,Recognized shooting proficiency
M0825,G23878,Sigma,Unit Commendation,2026-01-17,Contribution to unit-level achievement
M0826,G23264,Sigma,Distinguished Marksmanship Medal,2024-12-25,Recognized shooting proficiency
M0827,G23264,Sigma,Presidential Commendation,2025-08-13,Distinguished service recognized at command level
M0828,G23264,Sigma,Years of Service Medal,2023-04-29,Long and continuous military service
M0829,G23264,Sigma,Presidential Commendation,2025-07-17,Distinguished service recognized at command level
M0830,G22782,Sigma,Distinguished Marksmanship Medal,2023-07-18,Recognized shooting proficiency
M0831,G22782,Sigma,Operational Excellence Medal,2024-09-25,Exceptional performance during operational missions
M0832,G22782,Sigma,Years of Service Medal,2024-10-31,Long and continuous military service
M0833,G22782,Sigma,Meritorious Service Medal,2025-04-21,Sustained high standard of duty performance
M0834,G22782,Sigma,International Cooperation Medal,2024-07-25,Contribution to joint/NATO training exercises
M0835,G22782,Sigma,Distinguished Marksmanship Medal,2023-02-07,Recognized shooting proficiency
M0836,G22028,Sigma,Distinguished Marksmanship Medal,2024-06-07,Recognized shooting proficiency
M0837,G21049,Sigma,Distinguished Marksmanship Medal,2024-08-25,Recognized shooting proficiency
M0838,G21049,Sigma,Presidential Commendation,2024-02-18,Distinguished service recognized at command level
M0839,G21049,Sigma,Years of Service Medal,2025-03-10,Long and continuous military service
M0840,G21049,Sigma,Meritorious Service Medal,2024-03-13,Sustained high standard of duty performance
M0841,G21049,Sigma,International Cooperation Medal,2024-06-04,Contribution to joint/NATO training exercises
M0842,G21049,Sigma,Operational Excellence Medal,2024-02-26,Exceptional performance during operational missions
M0843,G23282,Sigma,Meritorious Service Medal,2026-03-03,Sustained high standard of duty performance
M0844,G22471,Sigma,Distinguished Marksmanship Medal,2023-05-01,Recognized shooting proficiency
M0845,G24364,Sigma,Operational Excellence Medal,2025-12-22,Exceptional performance during operational missions
M0846,G24364,Sigma,Presidential Commendation,2025-01-10,Distinguished service recognized at command level
M0847,G23461,Sigma,Operational Excellence Medal,2025-01-03,Exceptional performance during operational missions
M0848,G23461,Sigma,International Cooperation Medal,2024-03-22,Contribution to joint/NATO training exercises
M0849,G23461,Sigma,Presidential Commendation,2025-07-24,Distinguished service recognized at command level
M0850,G23461,Sigma,International Cooperation Medal,2024-03-30,Contribution to joint/NATO training exercises
M0851,G23461,Sigma,Unit Commendation,2026-05-01,Contribution to unit-level achievement
M0852,G23231,Sigma,Meritorious Service Medal,2026-01-31,Sustained high standard of duty performance
M0853,G23231,Sigma,Presidential Commendation,2024-01-21,Distinguished service recognized at command level
M0854,G23231,Sigma,Distinguished Marksmanship Medal,2024-02-02,Recognized shooting proficiency
M0855,G21906,Sigma,Years of Service Medal,2023-11-04,Long and continuous military service
M0856,G22712,Sigma,Meritorious Service Medal,2025-02-12,Sustained high standard of duty performance
M0857,G22712,Sigma,Meritorious Service Medal,2024-12-08,Sustained high standard of duty performance
M0858,G22712,Sigma,International Cooperation Medal,2024-07-28,Contribution to joint/NATO training exercises
M0859,G23902,Sigma,International Cooperation Medal,2026-04-14,Contribution to joint/NATO training exercises
M0860,G23902,Sigma,Unit Commendation,2026-05-31,Contribution to unit-level achievement
M0861,G18430,Sigma,Presidential Commendation,2025-09-08,Distinguished service recognized at command level
M0862,G17879,Sigma,Distinguished Marksmanship Medal,2026-01-11,Recognized shooting proficiency
M0863,G17879,Sigma,Distinguished Marksmanship Medal,2025-10-30,Recognized shooting proficiency
M0864,G23898,Sigma,Unit Commendation,2025-02-16,Contribution to unit-level achievement
M0865,G23898,Sigma,International Cooperation Medal,2026-03-23,Contribution to joint/NATO training exercises
M0866,G25531,Sigma,Unit Commendation,2025-11-14,Contribution to unit-level achievement
M0867,G25531,Sigma,International Cooperation Medal,2025-09-11,Contribution to joint/NATO training exercises
M0868,G18619,Sigma,Distinguished Marksmanship Medal,2024-12-22,Recognized shooting proficiency
M0869,G17402,Sigma,Presidential Commendation,2024-09-18,Distinguished service recognized at command level
M0870,G25356,Sigma,Operational Excellence Medal,2025-08-01,Exceptional performance during operational missions
M0871,G25356,Sigma,Presidential Commendation,2025-09-26,Distinguished service recognized at command level
